Table 1: List of Projects Studied in Transition Cycle #1 / Phase I
Project ID,Project Name / POI,State[2],Status,Transmission Owner[3],Maxiumum Facility Output (MFO in MW),MW Energy (MWE),MW Capacity (MWC),Project Type,Resource Type
AG1-447,Olive-University Park 345 kV,Indiana,Active,American Electric Power,305.0,55.0,55.0,Generation Interconnection,Storage
AG1-449,Rawlings-Carson 500 kV,Virginia,Active,Virginia Electric and Power Company,436.0,122.0,122.0,Generation Interconnection,Storage
AG1-450,Airey-Vienna 69 kV II,Maryland,Active,Delmarva Power and Light Company,125.0,25.0,25.0,Generation Interconnection,Storage
AG1-451,Curdsville DP-Willis Mt. 115 kV,Virginia,Active,Virginia Electric and Power Company,120.0,20.0,20.0,Generation Interconnection,Storage
AG1-453,Guardian 138 kV,Indiana,Active,American Electric Power,140.0,140.0,84.0,Generation Interconnection,Solar
AG1-454,Guardian 138 kV,Indiana,Active,American Electric Power,190.0,50.0,50.0,Generation Interconnection,Storage
AG1-456,Wildcat 138 kV,Ohio,Active,American Electric Power,180.0,30.0,30.0,Generation Interconnection,Storage
AG1-460,Kincaid-Pana 345 kV,Illinois,Active,Commonwealth Edison Company,329.0,30.0,12.0,Generation Interconnection,Storage
AG1-462,Cordova 345 kV,Illinois,Active,Commonwealth Edison Company,255.0,255.0,153.0,Generation Interconnection,Solar
AG1-471,Up Church-Wayne County 69 kV,Kentucky,Active,East Kentucky Power Cooperative Inc.,60.0,60.0,36.0,Generation Interconnection,Solar
AG1-473,Shingletown-Lewistown 230 kV,Pennsylvania,Active,Mid-Atlantic Interstate Transmission LLC,53.9,53.9,32.34,Generation Interconnection,Solar; Storage
AG1-483,Dickerson 230 kV,Maryland,Active,Potomac Electric Power Company,542.5,542.5,542.5,Generation Interconnection,Solar; Storage
AG1-488,Marion Co 161 kV,Kentucky,Active,East Kentucky Power Cooperative Inc.,70.0,70.0,42.0,Generation Interconnection,Solar
AG1-494,Boxwood-Riverville 138 kV,Virginia,Active,American Electric Power,50.0,50.0,20.0,Generation Interconnection,Storage
AG1-497,Cartanza 230 kV,Delaware,Active,Delmarva Power and Light Company,120.0,120.0,84.0,Generation Interconnection,Solar; Storage
AG1-505,Rawlings-Clover 500 kV,Virginia,Active,Virginia Electric and Power Company,150.0,150.0,90.0,Generation Interconnection,Solar
AG1-506,Rawlings-Clover 500 kV,Virginia,Active,Virginia Electric and Power Company,150.0,150.0,90.0,Generation Interconnection,Solar
AG1-522,Sullivan-Rockport 765 kV,Indiana,Active,American Electric Power,300.0,300.0,180.0,Generation Interconnection,Solar
AG1-523,Sullivan-Rockport 765 kV,Indiana,Active,American Electric Power,600.0,300.0,180.0,Generation Interconnection,Solar
AG1-524,Sullivan-Rockport 765 kV,Indiana,Active,American Electric Power,900.0,300.0,180.0,Generation Interconnection,Solar
AG1-525,Sullivan-Rockport 765 kV,Indiana,Active,American Electric Power,1200.0,300.0,180.0,Generation Interconnection,Solar
AG1-526,West Garrard 345 kV,Kentucky,Active,East Kentucky Power Cooperative Inc.,222.0,222.0,133.2,Generation Interconnection,Solar
AG1-529,Farmview 138 kV,Delaware,Active,Delmarva Power and Light Company,75.0,75.0,48.9,Generation Interconnection,Solar
AG1-531,Poolesville-Winchester 230 kV,Virginia,Active,Virginia Electric and Power Company,54.0,54.0,32.4,Generation Interconnection,Solar
AG1-535,State Line-S. Chicago Properties 138 kV,Illinois,Active,Commonwealth Edison Company,85.0,85.0,85.0,Generation Interconnection,Storage
AG1-536,Garner-Northern Neck 115 kV,Virginia,Active,Virginia Electric and Power Company,75.0,75.0,32.0,Generation Interconnection,Storage
AG1-537,Barterbrook-Stuarts Draft 115 kV,Virginia,Active,Virginia Electric and Power Company,75.0,75.0,32.0,Generation Interconnection,Storage
AG1-538,Remington-Gordonsville 230 kV,Virginia,Active,Virginia Electric and Power Company,75.0,75.0,32.0,Generation Interconnection,Storage
AG1-539,Grit DP-Perth 115 kV,Virginia,Active,Virginia Electric and Power Company,75.0,75.0,32.0,Generation Interconnection,Storage
AG1-547,Mount Airy-Chatham 69 kV,Virginia,Active,Virginia Electric and Power Company,50.0,50.0,32.54,Generation Interconnection,Solar; Storage
AG1-548,Erie South-Union City 115 kV,Pennsylvania,Active,Mid-Atlantic Interstate Transmission LLC,150.0,150.0,115.0,Generation Interconnection,Solar; Storage
AG1-549,Keystone 230 kV,Pennsylvania,Active,Mid-Atlantic Interstate Transmission LLC,100.0,100.0,85.0,Generation Interconnection,Solar; Storage
AG1-551,Parmele 12.5 kV,North Carolina,Active,Virginia Electric and Power Company,20.0,20.0,13.1,Generation Interconnection,Solar
AG1-552,Carolina 13.2 kV,North Carolina,Active,Virginia Electric and Power Company,18.0,18.0,12.2,Generation Interconnection,Solar
AG1-553,Cordova 345 kV,Illinois,Active,Commonwealth Edison Company,284.0,284.0,236.4,Generation Interconnection,Solar; Storage
AG1-556,Lexington 115 kV,Virginia,Active,Virginia Electric and Power Company,100.0,100.0,100.0,Generation Interconnection,Storage
